x,y
200,0
190.9,-9.1
175.127,-15.7733
156.583,-18.5438
139.688,-16.895
128.329,-11.359
124.972,-3.35711
130.133,5.16138
142.325,12.1916
158.468,16.1428
174.663,16.1956
187.131,12.4677
193.086,5.9549
191.355,-1.73025
182.6,-8.75551
169.096,-13.5036
154.154,-14.9427
141.307,-12.8471
133.483,-7.8237
132.341,-1.14224
137.924,5.58302
148.705,10.7814
161.996,13.2909
174.611,12.6155
183.63,9.01896
187.068,3.43792
184.309,-2.75926
176.203,-8.10604
164.82,-11.3832
152.925,-11.895
143.31,-9.61428
138.144,-5.16624
138.483,0.338991
144.065,5.58162
153.412,9.34711
164.218,10.8061
173.913,9.69503
180.272,6.35882
181.922,1.65009
178.635,-3.28669
171.343,-7.29203
161.881,-9.46238
152.528,-9.35249
145.464,-7.06402
142.261,-3.20356
143.536,1.27571
148.844,5.30801
156.812,7.96737
165.491,8.67902
172.833,7.34185
177.169,4.33616
177.588,0.418879
174.122,-3.46556
167.71,-6.41189
159.946,-7.7639
152.687,-7.25926
147.61,-5.07762
145.826,-1.78393
147.642,1.81623
152.514,4.8726
159.205,6.69014
166.091,6.88607
171.559,5.46872
174.382,2.82258
173.988,-0.393962
170.577,-3.41136
165.044,-5.53219
158.753,-6.29148
153.195,-5.55746
149.644,-3.55115
148.861,-0.783127
150.937,2.07536
155.291,4.35432
160.832,5.5413
166.228,5.39575
170.224,3.99604
171.935,1.71058
171.037,-0.897837
167.827,-3.20981
163.131,-4.69576
158.095,-5.0365
153.904,-4.1907
151.509,-2.39526
151.408,-0.10078
153.549,2.14074
157.357,3.80803
161.888,4.53121
166.061,4.173
168.914,2.85303
169.825,0.911351
168.647,-1.17825
165.724,-2.92328
161.796,-3.92803
157.813,-3.98276
154.707,-3.10635
153.172,-1.53434
153.516,0.343283
155.594,2.07822
158.864,3.27041
162.524,3.65976
165.706,3.18219
167.684,1.97803
168.037,0.352465
166.735,-1.30115
164.139,-2.59605
160.897,-3.24204
157.787,-3.11002
155.531,-2.25673
154.625,-0.905309
155.238,0.612299
157.174,1.93645
159.939,2.76463
162.859,2.92012
165.248,2.38906
166.566,1.31826
166.542,-0.0244385
165.225,-1.31668
162.966,-2.25862
160.324,-2.64215
157.928,-2.3964
156.328,-1.59968
155.872,-0.456252
156.627,0.755515
158.378,1.7506
160.682,2.30405
162.983,2.30143
164.745,1.76191
165.575,0.829249
165.309,-0.26581
164.046,-1.26234
162.115,-1.93111
159.988,-2.127
158.168,-1.82005
157.07,-1.09866
156.925,-0.144961
157.735,0.810774
159.281,1.54547
161.176,1.89507
162.967,1.79083
164.239,1.2722
164.713,0.47402
164.305,-0.408163
163.139,-1.1657
161.513,-1.62599
159.822,-1.69154
158.461,-1.36021
157.739,-0.722545
157.801,0.0624604
158.608,0.806725
159.946,1.33794
161.485,1.53927
162.86,1.37472
163.755,0.89489
163.977,0.222245
163.497,-0.479836
162.451,-1.04655
161.101,-1.35018
159.772,-1.32865
158.774,-0.997815
158.329,-0.445186
158.522,0.192899
159.287,0.764705
160.426,1.13902
161.661,1.23509
162.7,1.03976
163.309,0.608339
163.358,0.0493509
162.856,-0.50252
161.937,-0.91874
160.83,-1.10671
159.8,-1.03019
159.084,-0.715837
158.839,-0.244935
159.107,0.267422
159.807,0.700302
160.762,0.955348
161.741,0.978979
162.515,0.773393
162.909,0.394202
162.844,-0.0643299
162.352,-0.492567
161.56,-0.791597
160.664,-0.895954
159.877,-0.787776
159.377,-0.49939
159.273,-0.104092
159.575,0.302317
160.2,0.624639
160.991,0.790467
161.757,0.766326
162.321,0.56418
162.558,0.23713
162.424,-0.134349
161.962,-0.462097
161.291,-0.671097
160.574,-0.716541
159.981,-0.593278
159.645,-0.335692
159.637,-0.00836373
159.947,0.310005
160.492,0.545427
161.138,0.645735
161.73,0.592028
162.132,0.401972
162.256,0.124457
162.084,-0.172847
161.664,-0.41991
161.103,-0.560759
160.537,-0.566069
160.098,-0.439119
