x,y
200,0
190.9,-9.1
174.823,-16.0767
155.521,-19.3021
137.497,-18.0237
124.958,-12.5398
120.828,-4.12994
126.071,5.24359
139.465,13.3936
157.883,18.4185
177.029,19.1457
192.435,15.4055
200.505,8.0708
199.358,-1.14713
189.261,-10.0974
172.569,-16.6916
153.178,-19.3911
135.612,-17.566
123.97,-11.6422
120.968,-3.00185
127.307,6.33892
141.508,14.2006
160.256,18.7488
179.179,18.9223
193.859,14.6806
200.873,7.01341
198.583,-2.29024
187.523,-11.0595
170.275,-17.2482
150.862,-19.4123
133.816,-17.0469
123.112,-10.7039
121.248,-1.86328
128.661,7.41209
143.618,14.958
162.632,19.0137
181.265,18.6328
195.169,13.9043
201.101,5.9315
197.675,-3.42536
185.692,-11.983
167.948,-17.7445
148.582,-19.3657
132.114,-16.4682
122.386,-9.72817
121.668,-0.718191
130.127,8.45937
145.79,15.6631
165.002,19.2121
183.28,18.2782
196.36,13.0795
201.189,4.82886
196.64,-4.5485
183.776,-12.8645
165.597,-18.1789
146.345,-19.2515
130.513,-15.832
121.795,-8.71847
122.224,0.429406
131.701,9.47708
148.015,16.3134
167.358,19.3433
185.218,17.8598
197.427,12.2089
201.136,3.70935
195.48,-5.65575
181.779,-13.7012
163.23,-18.5497
144.16,-19.0699
129.019,-15.1405
121.341,-7.67829
122.916,1.5755
133.378,10.4617
150.285,16.9068
169.692,19.407
187.071,17.3789
198.366,11.2957
200.943,2.57688
194.2,-6.74324
179.71,-14.4899
160.855,-18.8556
142.033,-18.8217
127.637,-14.396
121.026,-6.61128
123.742,2.71609
135.151,11.4097
152.592,17.4411
171.995,19.4028
188.833,16.8373
199.176,10.343
200.611,1.4354
192.804,-7.80716
177.576,-15.228
158.48,-19.0957
139.972,-18.5077
126.371,-13.6013
120.85,-5.52117
124.697,3.84719
137.015,12.3179
154.929,17.9144
174.26,19.3309
190.497,16.2368
199.851,9.35419
200.14,0.288903
191.296,-8.84379
175.383,-15.9129
156.114,-19.2691
137.985,-18.1291
125.226,-12.759
120.815,-4.41177
125.779,4.96484
138.962,13.183
157.287,18.3251
176.479,19.1914
192.058,15.5796
200.391,8.33266
199.533,-0.858601
189.683,-9.84953
173.141,-16.5422
153.766,-19.3751
136.079,-17.6871
124.207,-11.8721
120.92,-3.28695
126.985,6.06515
140.987,14.002
159.659,18.6718
178.643,18.9848
193.511,14.868
200.793,7.28202
198.79,-2.0031
187.969,-10.8208
170.856,-17.1137
151.442,-19.4134
134.259,-17.1833
123.315,-10.9437
121.165,-2.15064
128.309,7.14426
143.081,14.7722
162.034,18.9532
180.746,18.7119
194.851,14.1044
201.057,6.20593
197.916,-3.14061
186.162,-11.7543
168.536,-17.6254
149.152,-19.3838
132.533,-16.6194
122.556,-9.97711
121.549,-1.00682
129.747,8.1984
145.238,15.4907
164.407,19.1684
182.78,18.3736
196.072,13.2915
201.18,5.10815
196.913,-4.26714
184.266,-12.6468
166.19,-18.0755
146.904,-19.2866
130.906,-15.9975
121.931,-8.97563
122.071,0.140525
131.295,9.22389
147.45,16.155
166.767,19.3166
184.738,17.971
197.17,12.4322
201.163,3.99252
195.784,-5.37875
182.289,-13.495
163.826,-18.4624
144.705,-19.1219
129.385,-15.3196
121.442,-7.94279
122.73,1.28738
132.947,10.2172
149.71,16.7629
169.107,19.3973
186.613,17.5057
198.142,11.5294
201.005,2.86294
194.533,-6.47157
180.237,-14.2961
161.453,-18.7848
142.562,-18.8904
127.974,-14.5883
121.092,-6.88219
123.522,2.42973
134.696,11.1747
152.008,17.3123
171.419,19.4103
188.398,16.9792
198.984,10.5864
200.708,1.72335
193.166,-7.54178
178.119,-15.0472
159.077,-19.0415
140.484,-18.5929
126.678,-13.8059
120.881,-5.79754
124.444,3.56359
136.538,12.0932
154.339,17.8011
173.694,19.3554
190.088,16.3934
199.694,9.60631
200.272,0.577743
191.686,-8.58563
175.94,-15.7457
156.709,-19.2318
138.478,-18.2304
